2019,01,01,0,99023.1875
2019,01,01,1,99008.4375
2019,01,01,2,98921.0625
2019,01,01,3,98808.8125
2019,01,01,4,98653.25
2019,01,01,5,98551.9375
2019,01,01,6,98488.125
2019,01,01,7,98387.75
2019,01,01,8,98307.875
2019,01,01,9,98202.875
2019,01,01,10,98052.25
2019,01,01,11,97876.3125
2019,01,01,12,97751.5
2019,01,01,13,97615.4375
2019,01,01,14,97516.9375
2019,01,01,15,97445.875
2019,01,01,16,97406.6875
2019,01,01,17,97368.3125
2019,01,01,18,97324.3125
2019,01,01,19,97264.0
2019,01,01,20,97206.9375
2019,01,01,21,97180.4375
2019,01,01,22,97093.1875
2019,01,01,23,97083.125
2019,01,02,0,97058.125
2019,01,02,1,97072.0
2019,01,02,2,96991.5
2019,01,02,3,96932.125
2019,01,02,4,96880.0
2019,01,02,5,96916.375
2019,01,02,6,96989.375
2019,01,02,7,97069.0
2019,01,02,8,97133.125
2019,01,02,9,97164.4375
2019,01,02,10,97194.625
2019,01,02,11,97228.0625
2019,01,02,12,97304.375
2019,01,02,13,97421.9375
2019,01,02,14,97552.9375
2019,01,02,15,97666.5
2019,01,02,16,97757.4375
2019,01,02,17,97849.75
2019,01,02,18,97928.625
2019,01,02,19,97984.125
2019,01,02,20,98014.0625
2019,01,02,21,98057.5625
2019,01,02,22,98041.5
2019,01,02,23,98059.75
2019,01,03,0,98108.375
2019,01,03,1,98159.375
2019,01,03,2,98180.4375
2019,01,03,3,98189.375
2019,01,03,4,98203.3125
2019,01,03,5,98231.125
2019,01,03,6,98254.875
2019,01,03,7,98300.5
2019,01,03,8,98325.8125
2019,01,03,9,98346.4375
2019,01,03,10,98339.125
2019,01,03,11,98320.3125
2019,01,03,12,98332.4375
2019,01,03,13,98385.4375
2019,01,03,14,98396.0625
2019,01,03,15,98448.6875
2019,01,03,16,98504.1875
2019,01,03,17,98534.875
2019,01,03,18,98574.9375
2019,01,03,19,98599.8125
2019,01,03,20,98649.75
2019,01,03,21,98687.5
2019,01,03,22,98694.0
2019,01,03,23,98682.9375
2019,01,04,0,98746.1875
2019,01,04,1,98810.6875
2019,01,04,2,98819.0625
2019,01,04,3,98843.875
2019,01,04,4,98851.5625
2019,01,04,5,98850.75
2019,01,04,6,98870.125
2019,01,04,7,98939.6875
2019,01,04,8,98958.5625
2019,01,04,9,98945.8125
2019,01,04,10,98874.3125
2019,01,04,11,98850.0625
2019,01,04,12,98739.9375
2019,01,04,13,98686.0
2019,01,04,14,98654.9375
2019,01,04,15,98542.625
2019,01,04,16,98526.75
2019,01,04,17,98411.1875
2019,01,04,18,98315.5
2019,01,04,19,98305.125
2019,01,04,20,98218.0
2019,01,04,21,98183.9375
2019,01,04,22,98129.4375
2019,01,04,23,98063.875
2019,01,05,0,97985.8125
2019,01,05,1,97937.5
2019,01,05,2,97861.9375
2019,01,05,3,97745.0625
2019,01,05,4,97601.125
2019,01,05,5,97489.5
2019,01,05,6,97417.875
2019,01,05,7,97350.9375
2019,01,05,8,97297.8125
2019,01,05,9,97252.1875
2019,01,05,10,97224.5625
2019,01,05,11,97197.9375
2019,01,05,12,97201.5625
2019,01,05,13,97263.5625
2019,01,05,14,97326.875
2019,01,05,15,97410.9375
2019,01,05,16,97513.875
2019,01,05,17,97561.6875
2019,01,05,18,97621.375
2019,01,05,19,97656.6875
2019,01,05,20,97681.6875
2019,01,05,21,97706.375
2019,01,05,22,97699.3125
2019,01,05,23,97686.5
2019,01,06,0,97716.4375
2019,01,06,1,97760.3125
2019,01,06,2,97775.75
2019,01,06,3,97805.6875
2019,01,06,4,97829.875
2019,01,06,5,97869.25
2019,01,06,6,97943.75
2019,01,06,7,98027.9375
2019,01,06,8,98116.125
2019,01,06,9,98178.625
2019,01,06,10,98198.9375
2019,01,06,11,98222.875
2019,01,06,12,98263.75
2019,01,06,13,98337.4375
2019,01,06,14,98390.375
2019,01,06,15,98454.9375
2019,01,06,16,98554.8125
2019,01,06,17,98582.625
2019,01,06,18,98665.25
2019,01,06,19,98685.5
2019,01,06,20,98748.4375
2019,01,06,21,98777.9375
2019,01,06,22,98834.75
2019,01,06,23,98839.8125
2019,01,07,0,98885.875
2019,01,07,1,98945.3125
2019,01,07,2,98937.8125
2019,01,07,3,98957.5
2019,01,07,4,98990.5625
2019,01,07,5,98999.5
2019,01,07,6,99042.1875
2019,01,07,7,99075.0
2019,01,07,8,99118.75
2019,01,07,9,99095.6875
2019,01,07,10,99088.625
2019,01,07,11,99049.5
2019,01,07,12,98982.375
2019,01,07,13,98973.9375
2019,01,07,14,98934.5625
2019,01,07,15,98910.8125
2019,01,07,16,98914.6875
2019,01,07,17,98894.0
2019,01,07,18,98837.0
2019,01,07,19,98765.1875
2019,01,07,20,98697.5625
2019,01,07,21,98605.75
2019,01,07,22,98468.0625
2019,01,07,23,98361.1875
2019,01,08,0,98213.375
2019,01,08,1,98110.1875
2019,01,08,2,97977.5
2019,01,08,3,97876.0
2019,01,08,4,97714.875
2019,01,08,5,97544.0625
2019,01,08,6,97425.9375
2019,01,08,7,97294.0
2019,01,08,8,97177.375
2019,01,08,9,97067.875
2019,01,08,10,96993.6875
2019,01,08,11,96868.75
2019,01,08,12,96757.75
2019,01,08,13,96694.375
2019,01,08,14,96658.4375
2019,01,08,15,96597.125
2019,01,08,16,96531.0625
2019,01,08,17,96431.6875
2019,01,08,18,96361.75
2019,01,08,19,96313.5
2019,01,08,20,96263.1875
2019,01,08,21,96216.125
2019,01,08,22,96202.8125
2019,01,08,23,96140.5
2019,01,09,0,96097.5625
